Name,Credential Type,Credential Number,Status,Expiration Date,Disciplinary Action,Address,,State,County,Phone#,First Issue Date,Primary Contact Name,Primary Contact Role
SUNSHINE ACADEMY PRE-SCHOOL,CENTER,1106-22,Active,11/30/2023,N,"150 N. WILLOW ST MESQUITE, NV 89027",,NV,CLARK,346-393-9400,12/1/2013,JANEECE NOEL,Other
SUNRISE CHILDREN'S FOUNDATION EARLY HEAD START - SPRING VALLEY,CENTER,1288-22,Active,10/31/2023,N,"2845 MOHAWK ST LAS VEGAS, NV 89146",,NV,CLARK,362-231-1137,1/1/2017,TANIA & NICOLE PINEDA & POBLETE,Director
BOLD AND BRIGHT ACADEMY LLC,FAMILY CARE,2919-23,Active,6/30/2024,N,"6036 ATLANTIS DREAM AVE LAS VEGAS, NV 89139",,NV,CLARK,417-631-1138,7/1/2020,BETHANY JOHNSON,Owner
DISCOVERY GARDENS CHILDCARE L.L.C.,CENTER (PROVISIONAL),2199-23,Active,7/31/2023,N,"555 PAGE ST LAS VEGAS, NV 89110",,NV,CLARK,503-539-3810,5/18/2017,SHERRITA MYERS,Other
THE LITTLE EXPLORERS LLC,GROUP CARE,2351-23,Active,1/31/2024,N,"470 GYPSUM DRIVE SPRING CREEK, NV 89815",,NV,ELKO,505-488-8895,2/7/2018,KYLA HANNAH,Owner
DEE'S PLAY & LEARN CHRISTIAN ACADEMY,GROUP CARE,2454-23,Active,6/30/2024,N,"6321 LAUREN ASHTON AVENUE LAS VEGAS, NV 89131",,NV,CLARK,510-551-5129,7/9/2018,DEETRA STEWART,Owner
LAKE MEAD CHRISTIAN ACADEMY - EARLY EDUCATION,CENTER,788-22,Active,8/31/2023,N,"540 E. LAKE MEAD PKWY HENDERSON, NV 89015",,NV,CLARK,565-583-1155,10/1/2015,THERESA HEHN,Director
LITTLE SPROUT DAYCARE,GROUP CARE,3646-23,Active,5/31/2024,N,"3135 FLORENTINE DRIVE CARSON CITY, NV 89701",,NV,CARSON CITY,619-746-2485,6/1/2023,MARIA ARREOLA,Owner
PRIMROSE OF LAS VEGAS AT LONE MOUNTAIN,CENTER,3497-22,Active,10/31/2023,N,"3801 N. CAMPBELL RD LAS VEGAS, NV 89129",,NV,CLARK,630-212-9413,11/18/2022,JAINI AND STACY JARIWALA AND SURVIS,Other
PRIMROSE OF LAS VEGAS AT SILVERADO RANCH,CENTER,3496-22,Active,10/31/2023,N,"9975 PLACID ST LAS VEGAS, NV 89135",,NV,CLARK,630-212-9413,11/18/2022,JAINI & SANDRA JARIWALA & CRAMER,Owner
MY LITTLE ANGEL’S  HOME DAYCARE LLC,FAMILY CARE (PROVISIONAL),2907-23,Active,7/31/2023,N,"6044 RIVER BELLE ST NORTH LAS VEGAS, NV 89031",,NV,CLARK,701-301-2241,4/1/2021,ANGEL CHADWICK,Owner
TINY TLC CHILD CARE,GROUP CARE,1930-23,Active,2/28/2024,N,"5909 IRIS AVE LAS VEGAS, NV 89107",,NV,CLARK,702-201-1154,3/22/2016,CHANTAI PETERSON,Owner
MOMMY'S ANGELS CHILDCARE,CENTER,2632-23,Active,4/30/2024,N,"4270 S RAINBOW BLVD LAS VEGAS, NV 89103",,NV,CLARK,702-201-1525,5/1/2019,DARINE & NESRINE FARRAJ & ABELLA,Owner
GRANNY T'S,GROUP CARE,2353-23,Active,1/31/2024,N,"9637 JERAN MILES CT LAS VEGAS, NV 89147",,NV,CLARK,702-202-2508,2/7/2018,DANIEL HEADWORTH,Owner
RISING STAR PRESCHOOL AND CHILDCARE,CENTER,1473-23,Active,1/31/2024,N,"8889 S. EASTERN AVE., STE 160 LAS VEGAS, NV 89123",,NV,CLARK,702-209-2781,2/1/2015,TINA FOX,Director
FOUNDATIONS PRESCHOOL RAINBOW,CENTER (PROVISIONAL),1250-23,Active,7/31/2023,N,"7625 S. RAINBOW BLVD., STE 104-106 LAS VEGAS, NV 89139",,NV,CLARK,702-214-5439,7/1/2016,NICOLE MINER,Other
CHARLENE RATH,FAMILY CARE,1054-23,Active,3/31/2024,N,"10748 SPRUCEDALE AVE LAS VEGAS, NV 89144",,NV,CLARK,702-217-7397,9/12/2014,CHARLENE RATH,Director
KIDS ARE US ACADEMY,CENTER,1231-22,Active,8/31/2023,N,"2760 S. JONES BLVD LAS VEGAS, NV 89146",,NV,CLARK,702-220-4384,11/1/2013,KIMBERLI HELAIRE-SMITH,Director
MERRYHILL PRESCHOOL - ALTA,CENTER,925-23,Active,7/31/2023,N,"10050 ALTA DR LAS VEGAS, NV 89145",,NV,CLARK,702-221-6337,8/1/2015,LISA FITZGERALD,Director
LIFE TIME ATHLETIC,ACCOMMODATION,1316-23,Active,4/30/2024,N,"10721 W. CHARLESTON BLVD LAS VEGAS, NV 89135",,NV,CLARK,702-228-2611,8/1/2016,ANITA HEUYARD,Person in Charge
CITY OF LAS VEGAS YOUTH DEVELOPMENT & SOCIAL INNOVATION AND THE DEPARTMENT OF PARKS & RECREATION,PERMITS,2429-21,Active,12/31/2023,N,"496 SOUTH MAIN STREET LAS VEGAS, NV 89101",,NV,CLARK,702-229-3399,1/27/2021,JOYCE BARROW-HENDERSON,Other
MIRABELLI COMMUNITY CENTER,CENTER,1026-23,Active,3/31/2024,N,"6200 HARGROVE AVE LAS VEGAS, NV 89107",,NV,CLARK,702-229-6359,4/1/2013,BRIDGET THOMAS,Director
PEGGY'S CHILDCARE,FAMILY CARE,3118-23,Active,4/30/2024,N,"4446 MELINE AVENUE NORTH LAS VEGAS, NV 89084",,NV,CLARK,702-232-7123,5/26/2021,PEGGY PETER,Owner
LA PETITE ACADEMY - TECH CENTER,CENTER,1041-23,Active,1/31/2024,N,"2401 TECH CENTER CT LAS VEGAS, NV 89128",,NV,CLARK,702-233-1077,2/1/2014,GRETCHEN LEE,Director
MOUNTAIN VIEW LUTHERAN PRESCHOOL,CENTER,1038-23,Active,1/31/2024,N,"9550 W. CHEYENNE AVE LAS VEGAS, NV 89129",,NV,CLARK,702-233-9323,11/1/2016,DONNA EINSPAHR,Director
MITTIE IN HOME FAMILY CARE,GROUP CARE (PROVISIONAL),3422-23,Active,7/31/2023,N,"3113 BUDDING BLSSOM CT LAS VEGAS, NV 89108",,NV,CLARK,702-240-0403,5/26/2022,CHERYL POLK,Owner
YMCA - DURANGO HILLS,CENTER,1078-23,Active,6/30/2024,N,"3521 N. DURANGO DR LAS VEGAS, NV 89129",,NV,CLARK,702-240-9622,5/1/2016,ERICA STEGALL,Director
CASCOS FAMILY DAYCARE,GROUP CARE,1164-22,Active,9/30/2023,N,"1668 GATEWAY AVE LAS VEGAS, NV 89104",,NV,CLARK,702-241-9023,10/1/2016,OLGA CASCOS,Owner
INTERNATIONAL CHRISTIAN ACADEMY PRESCHOOL,CENTER,1465-23,Active,12/31/2023,N,"8100 WESTCLIFF DR LAS VEGAS, NV 89145",,NV,CLARK,702-242-1069,7/1/2018,KRISTEN KENNEDY,Director
TINKER TOWN LEARN & PLAY CENTER - SMOKE RANCH,CENTER (PROVISIONAL),892-23,Active,7/31/2023,N,"6200 SMOKE RANCH RD LAS VEGAS, NV 89108",,NV,CLARK,702-242-3222,3/1/2017,TRENICE TAYLOR,Director
MERRYHILL PRESCHOOL - SNOW TRAIL,CENTER,967-22,Active,9/30/2023,N,"2150 SNOW TRAIL LAS VEGAS, NV 89134",,NV,CLARK,702-242-3230,10/1/2016,ERIKA VAN RHYN,Director
KINDERCARE LEARNING CENTERS - DESERT MARIGOLD,CENTER,1253-23,Active,2/28/2024,N,"3085 DESERT MARIGOLD DR LAS VEGAS, NV 89135",,NV,CLARK,702-243-0033,4/1/2017,"ANASTASIA, KASHMIR EDEY, SHAFER",Director
CALVARY CHAPEL PRESCHOOL SPRING VALLEY,CENTER,1266-23,Active,2/28/2024,N,"7175 W. OQUENDO RD LAS VEGAS, NV 89113",,NV,CLARK,702-248-8879,6/16/2017,JULIE PROUD,Director
MERRYHILL PRESCHOOL - DURANGO,CENTER,1129-22,Active,7/31/2023,N,"5055 S. DURANGO DR LAS VEGAS, NV 89113",,NV,CLARK,702-252-3945,8/1/2016,MARIA ZACCHEO,Director
CELIDA PADILLA,FAMILY CARE,1168-23,Active,3/31/2024,N,"3221 MONACO SHORES DR LAS VEGAS, NV 89117",,NV,CLARK,702-253-3985,4/1/2017,CELIDA PADILLA,Owner
GALINA'S CHILD CARE,FAMILY CARE,1382-22,Active,10/31/2023,N,"9692 SWAYING TREES DR LAS VEGAS, NV 89147",,NV,CLARK,702-253-5202,11/1/2014,GALINA GEREVENKO,Owner
THE MEADOWS BEGINNING SCHOOL,CENTER,921-22,Active,7/31/2023,N,"8601 SCHOLAR LN LAS VEGAS, NV 89128",,NV,CLARK,702-254-5220,8/1/2016,SARA CARLSON,Director
CREATIVE KIDS FORT APACHE,CENTER,2195-23,Active,2/28/2024,N,"2575 FORT APACHE RD. LAS VEGAS, NV 89117",,NV,CLARK,702-255-0443,3/9/2017,YAZMIN VALDEZ-GIRON,Director
SPRINGSTONE LAKES MONTESSORI SCHOOL,CENTER (PROVISIONAL),1400-23,Active,7/31/2023,N,"2750 LAKE SAHARA DR LAS VEGAS, NV 89117",,NV,CLARK,702-255-4440,7/1/2014,KAMERINE ACOSTA,Director
THE DR. MIRIAM AND SHELDON G. ADELSON EDUCATIONAL INSTITUTE,CENTER,1075-23,Active,4/30/2024,N,"9700 W. HILLPOINTE RD LAS VEGAS, NV 89134",,NV,CLARK,702-255-4500,5/1/2014,VALERIE IRIZARI,Director
THE SHENKER ACADEMY,CENTER,879-23,Active,5/31/2024,N,"9001 HILLPOINTE RD LAS VEGAS, NV 89134",,NV,CLARK,702-255-5437,7/1/2017,SHARON KNAFO,Director
LA PETITE ACADEMY - HARBOR ISLAND,CENTER (PROVISIONAL),991-23,Active,6/30/2023,N,"2121 HARBOR ISLAND DR LAS VEGAS, NV 89128",,NV,CLARK,702-255-5657,11/1/2013,DEANNE MCMAHAN,Person in Charge
LA PETITE ACADEMY - BOSECK,CENTER,986-23,Active,10/31/2023,N,"8451 BOSECK DR LAS VEGAS, NV 89145",,NV,CLARK,702-255-9252,11/1/2013,CRYSTAL FROST,Director
LEAP INTO LEARNING,CENTER,1295-23,Active,11/30/2023,N,"6395 E. RUSSELL RD LAS VEGAS, NV 89122",,NV,CLARK,702-256-5327,2/1/2015,JAMIE STEVENS,Director
CHABAD - TORAH TOTS PRESCHOOL,CENTER,1108-22,Active,8/31/2023,N,"1312 VISTA DR LAS VEGAS, NV 89102",,NV,CLARK,702-259-1000,10/1/2013,DINA HARLIG,Director
KINDERCARE SILVERADO RANCH,CENTER,3247-23,Active,8/31/2023,N,"3528 ST. ROSE PKWY HENDERSON, NV 89052",,NV,CLARK,702-260-7587,9/7/2021,ALEKSANDRA & KATIE LIPSKA HALLOCK & MEEKER,Director
BEAUTIFUL SAVIOR LUTHERAN PRESCHOOL,CENTER,1185-22,Active,7/31/2023,N,"10265 BERMUDA RD LAS VEGAS, NV 89183",,NV,CLARK,702-260-7660,11/8/2016,JENNIFER HEINY,Director
SUNSHINE CHILD CARE,FAMILY CARE,1435-23,Active,4/30/2024,N,"8233 STONEHEATHER CT LAS VEGAS, NV 89117",,NV,CLARK,702-262-5569,5/1/2014,SHAMALIE WIJEKULARATNE,Owner
THE KREATIVE MINDS DAYCARE,GROUP CARE,3392-22,Active,10/31/2023,N,"6054 DOROCA ST LAS VEGAS, NV 89134",,NV,CLARK,702-262-7976,11/9/2022,OCTAVIA MCLAURIN,Owner
CHILDREN'S LEARNING ADVENTURE - ROBINDALE,CENTER,1152-23,Active,4/30/2024,N,"6980 W. ROBINDALE RD LAS VEGAS, NV 89113",,NV,CLARK,702-263-1292,5/1/2017,THERESA OLPENDO,Director
CITY OF HENDERSON YOUTH PROGRAMS,PERMITS,2799-20,Active,7/31/2023,N,"240 WATER STREET HENDERSON, NV 89015",,NV,CLARK,702-267-4000,8/5/2020,XANIE GANN,Other
ABC ETC/LITTLE LEARNERS,CENTER,411-23,Active,6/30/2024,N,"500 HARRIS ST HENDERSON, NV 89015",,NV,CLARK,702-267-4060,10/1/2015,FELISHA AGUILAR,Director
CHILDREN'S LEARNING ADVENTURE - EASTERN,CENTER,1105-22,Active,7/31/2023,N,"11183 S. EASTERN AVE HENDERSON, NV 89052",,NV,CLARK,702-269-0708,8/1/2015,ASHLEE NAEHU,Owner
EOS FITNESS - STEPHANIE,ACCOMMODATION,1474-23,Active,2/28/2024,N,"35 S. STEPHANIE ST HENDERSON, NV 89012",,NV,CLARK,702-269-0828,3/1/2016,"ARGIE, NELLY REYES, ARROYO",Person in Charge
FOUNDATIONS PRESCHOOL - SOUTHERN HIGHLANDS,CENTER,2167-23,Active,3/31/2024,N,"11350 SOUTHERN HIGHLANDS PKWY LAS VEGAS, NV 89141",,NV,CLARK,702-269-6132,4/7/2017,TAYLOR DAMELIO,Director
HENDERSON CHRISTIAN ACADEMY,CENTER,965-22,Active,8/31/2023,N,"2750 ROBINDALE RD HENDERSON, NV 89074",,NV,CLARK,702-270-2595,2/1/2016,JAIME BUCHOLZ,Director
CREATIVE KIDS-PEBBLE,CENTER,2191-23,Active,2/28/2024,N,"4855 W. PEBBLE RD. LAS VEGAS, NV 89139",,NV,CLARK,702-270-7770,3/1/2017,ROSALY LIZARDO,Director
BRING'EM YOUNG ACADEMY,CENTER,1508-22,Active,8/31/2023,N,"3980 W. ANN RD., STE 1 NORTH LAS VEGAS, NV 89031",,NV,CLARK,702-273-9684,10/1/2017,GLORIA PHILLIPS,Director
"GENERATION ALPHA ACADEMY & DAYCARE, LLC",GROUP CARE,3512-23,Active,1/31/2024,N,"6045 SUGAR CREEK DR NORTH LAS VEGAS, NV 89081",,NV,CLARK,702-274-9023,2/15/2023,HEATHER SOTO,Owner
MILESTONE ACADEMY,CENTER,3192-22,Active,11/30/2023,N,"9859 W. DEER SPRINGS LAS VEGAS, NV 89149",,NV,CLARK,702-275-1626,12/17/2021,PENNIE AND TIFFANY DONLIN AND SLATER,Person in Charge
NCA LEARNING CENTER,CENTER,2128-23,Active,11/30/2023,N,"3435 LINDELL ROAD LAS VEGAS, NV 89146",,NV,CLARK,702-290-9936,2/22/2017,MINLI WANG,Director
MS. GAYLE'S LITTLE SCHOOL,FAMILY CARE,3154-23,Active,4/30/2024,N,"5770 HEDGEHAVEN COURT LAS VEGAS, NV 89120",,NV,CLARK,702-292-8928,5/26/2021,GAYLE THOMSEN,Owner
GRACE CHRISTIAN ACADEMY,CENTER,1998-22,Active,10/31/2023,N,"512 CALIFORNIA AVE. BOULDER CITY, NV 89005",,NV,CLARK,702-293-3536,1/27/2017,SANDRA PICHE,Director
CHRISTIAN CENTER DAYCARE,CENTER (PROVISIONAL),007-23,Active,7/31/2023,N,"571 ADAMS BLVD BOULDER CITY, NV 89005",,NV,CLARK,702-293-7773,9/1/2015,MELANIE BUDD,Director
SUNRISE CHILDREN'S FOUNDATION EARLY HEAD START - BOULDER CITY,CENTER,1116-22,Active,8/31/2023,N,"100 ST. JUDE ST BOULDER CITY, NV 89005",,NV,CLARK,702-293-9088,9/1/2016,NICOLE POBLETE,Director
DON'S KID KASTLE,ACCOMMODATION,1505-22,Active,8/31/2023,N,"1650 CASINO DR LAUGHLIN, NV 89029",,NV,CLARK,702-298-2535,8/1/2016,CINDY CAMPBELL,Person in Charge
LITTLE EINSTEINS MONTESSORI AND DAYCARE,GROUP CARE (PROVISIONAL),3217-23,Active,6/30/2023,N,"6508 W COUGAR AVE LAS VEGAS, NV 89139",,NV,CLARK,702-305-4704,6/8/2022,DINUSHA NANAYAKKARA,Owner
EOS FITNESS - SAHARA,ACCOMMODATION,1988-22,Active,9/30/2023,N,"8125 W. SAHARA LAS VEGAS, NV 89117",,NV,CLARK,702-308-3384,10/13/2016,ARGIE REYES,Person in Charge
EOS FITNESS -RUSSELL,ACCOMMODATION,2290-22,Active,11/30/2023,N,"3325 E. RUSSELL RD. LAS VEGAS, NV 89120",,NV,CLARK,702-308-3384,11/30/2017,ARGIE REYES,Person in Charge
EOS FITNESS- BLUE DIAMOND,ACCOMMODATION,2724-22,Active,10/31/2023,N,"4935 BLUE DIAMOND RD LAS VEGAS, NV 89139",,NV,CLARK,702-308-3384,10/28/2020,"JASMINE &  ARGIE, TILLMAN & REYES",Person in Charge
ANGEL'S CHRISTIAN ACADEMY,CENTER,1432-23,Active,3/31/2024,N,"2720 CRYSTAL WATER WAY LAS VEGAS, NV 89117",,NV,CLARK,702-324-3647,4/1/2014,RITA PURSWELL,Director
INFINITY LEARNING CENTER RAINBOW,CENTER (PROVISIONAL),3196-23,Active,7/31/2023,N,"5447 S RAINBOW BLVD LAS VEGAS, NV 89118",,NV,CLARK,702-331-4594,5/26/2021,VICTORIA HALEY,Director
KIDDIE ACADEMY OF HENDERSON,CENTER (PROVISIONAL),1507-23,Active,7/31/2023,N,"870 CORONADO CENTER DR HENDERSON, NV 89052",,NV,CLARK,702-333-1177,9/1/2015,KELLIE WALSH,Person in Charge
CREME DE LA CREME FARM,CENTER (PROVISIONAL),2710-23,Active,6/30/2023,N,"8420 FARM RD LAS VEGAS, NV 89131",,NV,CLARK,702-342-6851,11/1/2019,CARLA & KRISTINE BISHOP & HALL,Person in Charge
MESQUITE LUTHERAN CHILD CARE CENTER,CENTER,813-22,Active,7/31/2023,N,"450 TURTLEBACK RD MESQUITE, NV 89027",,NV,CLARK,702-346-3954,8/1/2014,BRANDY TEMPLETON,Director
BIZZY BEE DAYCARE,CENTER,3308-23,Active,4/30/2024,N,"1915 SIMMONS STREET SUITE B LAS VEGAS, NV 89106",,NV,CLARK,702-350-2014,5/11/2023,JONI STUMPF,Owner
SHADOW HILLS PRESCHOOL,CENTER,1055-23,Active,3/31/2024,N,"7811 VEGAS DR LAS VEGAS, NV 89128",,NV,CLARK,702-360-3550,5/2/2016,REBECCA MCLEMORE,Director
EOS FITNESS - LAKE MEAD,ACCOMMODATION,1476-23,Active,2/28/2024,N,"7501 W. LAKE MEAD BLVD LAS VEGAS, NV 89128",,NV,CLARK,702-360-8205,7/1/2016,ARGIE & RANI REYES & GRAY,Person in Charge
CHILDTIME LEARNING CENTER - EASTERN,CENTER (PROVISIONAL),477-23,Active,6/30/2023,N,"7980 S. EASTERN AVE HENDERSON, NV 89123",,NV,CLARK,702-361-1725,3/1/2014,STEPHANIE MAY,Director
D.J.'S WEST,CENTER,587-22,Active,7/31/2023,N,"101 S. ARROYO GRANDE BLVD HENDERSON, NV 89012",,NV,CLARK,702-361-3405,8/1/2015,DEBRA JO ABENDROTH,Director
SEKURITIE CHILD CARE,FAMILY CARE,1383-23,Active,10/31/2023,N,"7644 DOVE CANYON ST LAS VEGAS, NV 89123",,NV,CLARK,702-361-5822,12/1/2017,RONNECE BRIGHT,Person in Charge
LAS VEGAS DAY SCHOOL,CENTER,1126-22,Active,7/31/2023,N,"3275 RED ROCK ST LAS VEGAS, NV 89146",,NV,CLARK,702-362-1180,8/1/2017,NEIL & KYLE DASELER & DASELER,Director
ACELERO LEARNING CLARK COUNTY - SPRING VALLEY,CENTER,1287-22,Active,10/31/2023,N,"2845 MOHAWK ST LAS VEGAS, NV 89146",,NV,CLARK,702-362-2311,11/1/2015,SHELLY & GWEN COOK & COWARD,Director
SPRING VALLEY MONTESSORI,CENTER,1180-23,Active,3/31/2024,N,"6940 EDNA AVE LAS VEGAS, NV 89117",,NV,CLARK,702-362-9739,1/1/2016,JESUSA ALCANTARA,Director
CREATIVE KIDS-TORREY PINES,CENTER,2193-23,Active,2/28/2024,N,"5125 S. TORREY PINES DRIVE LAS VEGAS, NV 89118",,NV,CLARK,702-364-2223,3/9/2017,BELINDA KELLY,Director
LAS VEGAS ATHLETIC CLUB - SAHARA,ACCOMMODATION,1013-23,Active,12/31/2023,N,"5200 W. SAHARA AVE LAS VEGAS, NV 89146",,NV,CLARK,702-364-5822,3/16/2015,SARA PALLUCK AND HEATHER EASTVELD PALLUCK,Person in Charge
CREATIVE KIDS-ALTA,CENTER,2192-23,Active,4/30/2024,N,"10650 ALTA DRIVE LAS VEGAS, NV 89144",,NV,CLARK,702-366-1417,5/24/2017,KELLY REYNOLDS,Director
KINDERCARE LEARNING CENTERS - TORREY PINES,CENTER,1251-23,Active,6/30/2023,N,"4050 S. TORREY PINES DR LAS VEGAS, NV 89103",,NV,CLARK,702-367-0822,8/1/2015,DINA PARRA,Director
KINDERCARE LEARNING CENTER TROPICANA,CENTER,3121-23,Active,7/31/2023,N,"9572 W. TROPICANA AVE LAS VEGAS, NV 89147",,NV,CLARK,702-368-2267,3/22/2021,ANNE & KATIE MAZIAR & MEEKER,Director
EOS FITNESS CAMINO,ACCOMMODATION,3162-22,Active,8/31/2023,N,"4520 N SCOTT ROBINSON BLVD. NORTH LAS VEGAS, NV 89031",,NV,CLARK,702-374-1129,9/15/2021,JAZLYNN & ARGIE RAMOS & REYES,Person in Charge
EOS FITNESS NORTH DURANGO,ACCOMMODATION,2963-23,Active,5/31/2024,N,"8615 WEST ROME BOULEVARD LAS VEGAS, NV 89149",,NV,CLARK,702-374-1129,6/9/2021,"ARGIE, STEPHANIE REYES, NGAUV",Person in Charge
EOS FITNESS RAINBOW & ALTA,ACCOMMODATION,3560-22,Active,11/30/2023,N,"601 S. RAINBOW BLVD. LAS VEGAS, NV 89145",,NV,CLARK,702-374-1129,12/22/2022,"ARGIE, KARLA REYES, GARCIA-BERROSPE",Other
EOS FITNESS ST. ROSE,ACCOMMODATION,3349-23,Active,12/31/2023,N,"3511 ST. ROSE PARKWAY HENDERSON, NV 89052",,NV,CLARK,702-374-1129,1/27/2022,RANI  & ARGIE GRAY & REYES,Person in Charge
EOS FITNESS SUNSET,ACCOMMODATION,3712-23,Active,5/31/2024,N,"1425 W. SUNSET RD. HENDERSON, NV 89014",,NV,CLARK,702-374-1129,6/22/2023,ARGIE REYES,Other
MOON & FRIENDS CHILD CARE LLC,FAMILY CARE,3039-23,Active,2/28/2024,N,"5138 FIJI ISLAND CT NORTH LAS VEGAS, NV 89031",,NV,CLARK,702-375-3475,3/31/2021,MARIA RAMOS,Owner
KINDERCARE - RHODES RANCH,CENTER,2551-23,Active,12/31/2023,N,"7380 S BUFFALO DR LAS VEGAS, NV 89113",,NV,CLARK,702-382-0071,1/1/2019,ALICIA SOTO,Director
ACELERO LEARNING CLARK COUNTY - REACH OUT CENTER,CENTER,1060-23,Active,3/31/2024,N,"1522 PINTO LN LAS VEGAS, NV 89106",,NV,CLARK,702-382-7337,4/1/2015,MONICA & SHELLY VENTURA & COOK,Director
MOUNTAIN VIEW CHRISTIAN SCHOOLS,CENTER,2994-22,Active,7/31/2023,N,"301 SOUTH MARYLAND PARKWAY LAS VEGAS, NV 89101",,NV,CLARK,702-384-6106,8/11/2020,KELSEY NELLIS,Director
KIDTOWN LAS VEGAS,CENTER,1410-22,Active,9/30/2023,N,"5270 S. PECOS RD LAS VEGAS, NV 89120",,NV,CLARK,702-385-5222,10/1/2015,MARY BORCUK,Director
SOURCE ACADEMY AND EARLY LEARNING CENTER,CENTER,2073-23,Active,12/31/2023,N,"10 N. 28TH ST. LAS VEGAS, NV 89101",,NV,CLARK,702-386-1006,1/20/2017,TOYYA & JEREK LOZANO & HOUGH,Director